metric_name,q1,q3,iqr,lower_bound,upper_bound,outlier_count_2019
hh_electricity,96.4,99.5,3.0999999999999943,91.75000000000001,104.14999999999999,62
hh_clean_cooking_fuel,33.975,75.275,41.300000000000004,-27.975,137.22500000000002,0
hh_improved_sanitation,61.975,83.3,21.324999999999996,29.987500000000008,115.2875,1
women_10yrs_schooling,29.225,49.725,20.5,-1.5249999999999986,80.475,7
child_stunted,27.3,39.3,11.999999999999996,9.300000000000008,57.29999999999999,3
women_anaemic,49.3,63.725,14.425000000000004,27.66249999999999,85.36250000000001,16
institutional_births_total,83.7,97.4,13.700000000000003,63.15,117.95000000000002,24
